redd_and_post-kyoto, transport_sector, kyoto_protocol, technology_transfer_and_energy, models_and_ipcc, environmental_and_social_impacts, cdm_and_carbon_offsets, compliance_and_enforcement, vulnerability_and_adaptation_actions, land_use_and_forests, adaptation_funding_and_equity, ghg_and_emissions_measure, 
awg-lca, plenary, parties, technology_transfer, http, climate, clean_development_mechanism, compliance, parties, lulucf, group, review, 
cop, international, kyoto_protocol, technology, one, change, cdm, group, sbsta, group, global_environment_facility, annex_i_parties, 
text, aviation, awg-kp, contact, climate, development, projects, said, adopted, delegates, sbi, guidelines, 
parties, maritime, cop, sbsta, observation, sustainable_development, parties, branch, agenda, issues, cop, information, 
mitigation, cop, group, technologies, delegates, international, executive_board, article, president, parties, parties, emissions, 
informal_consultations, president, protocol, report, research, unfccc, mechanisms, would, cop, groups, delegates, ipcc, 
delegates, delegates, annex_i_parties, sbi, conference, environment, issues, delegates, sbi, mechanisms, financial_mechanism, sbsta, 
work, statements, conference, issues, many, called, joint_implementation, consequences, chair, article, contact, national_communications, 
groups, pm, http, group, copenhagen, action, project, enforcement, ms, activities, text, secretariat, 
issues, heads, second_commitment_period, http, center, un, text, contact, p, text, agreed, convention, 
one, afternoon, unfccc, work, global_climate_observing_system, world, activities, proposal, work, compliance, national_communications, report, 
informal, emissions, change, transfer, negotiations, minister, additionality, decision, item, cop-6, review, inventories, 
many, consultations, cop/mop, adaptation, delegate, poverty, cop/mop, cop/mop, agreement, information, funding, article, 
awg-kp, secretariat, delegates, groups, however, impacts, carbon_capture, issue, agreed, informal, report, protocol, 
discussions, transport, agreed, delegates, models, energy, ji, compliance_committee, consultations, contact, guidance, parties, 
evening, organization, also, implementation, change, economic, brazil, suggested, issues, sbsta, fund, us, 
finance, bunker, countries, programme, systematic, adaptation, contact, report, saudi_arabia, plenary, secretariat, data, 
negotiations, would, body, egtt, participants, stressed, baselines, review, would, met, implementation, chair, 
plenary, icao, subsidiary, development, cop, indigenous_peoples, procedures, croatia, report, negotiations, decision, suggested, 
adp, host, emissions, capacity_building, back, cooperation, new, appeal, noted, negotiating, gef, greenhouse_gas, 
morning, committee, annex, including, bella, highlighted, informal_consultations, procedures, decision, use, chair, measures, 
shared_vision, ministers, session, cop, next, countries, group, draft_decision, reported, guidelines, draft_decision, annex, 
contact, fuel, issues, review, world, technologies, aij, jwg, delegates, informal_consultations, financial, china, 
also, fuels, meeting, also, deal, environmental, opposed, japan, rule, work, ldcs, emission, 
afternoon, subsidiary_bodies, december, international, week, global, cer, annex, nairobi_work_programme, ipcc, draft, commitments, 
day, ministerial, qelros, held, coverage, human, methodologies, proposed, issue, protocol_articles, matters, national, 
continued, agenda_item, amendments, informal_consultations, even, food, noted, co-chair, conclusions, meeting, adaptation_fund, co2, 
group, high-level_segment, met, relating, top, activities, distribution, joint, officer, agreed, activities, eu, 
ministers, expected, afternoon, financial_mechanism, observing, agriculture, including, party, implementation, part, least_developed_countries, policies, 
redd+, committee_of_whole, framework_convention_on_climate, met, corridors, ipcc, sinks, mechanisms, buenos_aires, forest, informal_consultations, reporting, 
http, morning, convention, workshop, systems, panel, supported, parties, informal_consultations, land, budget, cop, 
cop/mop, meet, implementation, public, get, local, chair, whether, draft, president_pronk, g-77/china, adopted, 
bali, permanent_secretariat, further_commitments, energy, iisd, measures, board, g-77/china, session, review, introduced, synthesis, 
ministerial, imo, sessions, adverse_effects, large, convention, co-chair, opposed, http, would, programme, draft, 
elements, http, country, matters, commented, national, eligibility, informal_consultations, rules_of_procedure, afternoon, draft_conclusions, ms, 
forward, also, climate, decision, k_to_iisd.jpg, concentrations, issue, work, draft_decision, progress, work, greenhouse_gases, 
long-term, groups, commitments, protocol, monday, developing_countries, http, consideration, election, evening, eu, g-77, 
various, location, surplus, research, people, business, environmental, facilitative, bureau, reporting, consideration, system, 
meeting, scheduled, targets, convention, gcos, force, report, protocol, noting, new, discussed, p, 
delegate, continue, proposals, committee, days, health, nuclear, saudi_arabia, response_measures, methodological_issues, also, b, 
throughout, meeting, aaus, considered, regional, transfer, japan, co-chairs, rules, drafting, article, agenda_item, 
country, un, sbi, convened, around, organization, continue, process, protocol_article, convened, cge, inventory, 
outcome, delegations, first_commitment_period, activities, observers, security, inclusion, non-compliance, draft_conclusions, consultations, interim, delegates, 
awg-lca_chair, reported, flexibility_mechanisms, cooperation, day, response, regional, also, adoption, guidance, reported, reference, 
place, cop-1, including, clean_development_mechanism, hope, intergovernmental, storage, agreed, organizational_matters, session, met, ghg, 
president, evening, un, joint, might, governments, small-scale, text, adverse_effects, co-chair, adopted, behalf, 
wednesday, friday, sbsta, mitigation, room, role, draft_decision, canada, sbsta_chair, agreement, support, second, 
sbsta, bureau, work, unfccc_article, negotiator, organizations, reported, eu, opened, decision, capacity_building, annual, 
consultations, germany, fccc, protocol_article, long, greenhouse_gases, share_of_proceeds, draft, policies, morning, would, ozone, 
thursday, rules_of_procedure, contact, experts, analysis, cop-8, phase, annex_i_parties, also, discussions, convention, scientific, 
